timestamp,search_id,nickname,city_code,check_in,check_out,rank,hotel_id,hotel_name,price,currency,room_type
2026-04-18T05:21:41Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,3,ChkI6P_r9vvWh-ceGg0vZy8xMWI2X2czMWhxEAE,Riva Beach Resort,39375.00,INR,★ 4.4
2026-04-18T05:21:41Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,4,ChkIxdrD1oDIusgQGg0vZy8xMWNzcnI5aDV4EAE,Fairfield by Marriott Goa Calangute,45347.00,INR,★ 4.1
2026-04-18T05:21:41Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,5,ChoIie2RtLnbvubQARoNL2cvMTFyYnl5Y3lkeBAB,Radisson Resort Goa Baga,56050.00,INR,★ 4.9
2026-04-18T05:21:41Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,6,ChkIsbzyycbn8alPGg0vZy8xMWJ3a2R0ejF3EAE,Hard Rock Hotel Goa,78371.00,INR,★ 4.6
2026-04-18T05:21:41Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,7,ChoImf3xx9DdvLKKARoNL2cvMTFjbmM5cHh2aBAB,Radisson Blu Resort Goa Cavelossim Beach,78804.00,INR,★ 4.4
2026-04-18T05:21:41Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,8,ChoIkuWG9_r43pWmARoNL2cvMTFzZmIzOTdnbhAB,JW Marriott Goa,230690.00,INR,★ 4.6
2026-04-18T05:21:41Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,1,ChkIoqGM7cGn-dR5Gg0vZy8xMXJtcTZ2XzVfEAE,"The Fern Habitat, Jaipur",9756.00,INR,★ 4.5
2026-04-18T05:21:41Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,2,ChgIr6iGrra-z74pGgwvZy8xMmNwY2R3bnIQAQ,Hotel Sarang Palace - Boutique Stays & Candlelight Dining,9777.00,INR,★ 4.4
2026-04-18T05:21:41Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,3,ChgI1un0382GlrJWGgwvZy8xaGh3cGwxZ2gQAQ,ibis Jaipur City Centre,10574.00,INR,★ 4.5
2026-04-18T05:21:41Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,4,ChcI2YrBzJ2r6cIgGgsvZy8xdGZ6X2dfehAB,Rajasthan Palace - A Heritage Boutique Hotel in Jaipur,11315.00,INR,★ 4.6
2026-04-18T05:21:41Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,5,ChcIysTI36u1nMAjGgsvZy8xdGRrM2tfZhAB,"The Fern Jaipur, Series by Marriott",11550.00,INR,★ 4.2
2026-04-18T05:21:41Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,6,ChkIkajg_PD234bPARoML2cvMXE2M2NqZ19oEAE,WelcomHeritage Traditional Haveli,11937.00,INR,★ 4.6
2026-04-18T05:21:41Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,7,ChcIwq6nyJSwxtpcGgsvZy8xdnM1djM2eRAB,Umaid Bhawan-A Royal Heritage Style Boutique Hotel,15750.00,INR,★ 4.3
2026-04-18T05:21:41Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,8,ChgIidumro69j6DvARoLL2cvMXRmNmYweDAQAQ,Jaipur Marriott Hotel,30088.00,INR,★ 4.5
2026-04-18T05:21:41Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,9,ChgIj6jnuOKj9a-jARoLL2cvMXRkNWRqY2wQAQ,The Lalit Jaipur,67258.00,INR,★ 4.3
2026-04-19T05:39:47Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,1,ChoIlc_664zR8eSAARoNL2cvMTFjbjk2d19oahAB,ibis Styles Goa Calangute,24540.00,INR,★ 4.7
2026-04-19T05:39:47Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,2,ChgIsMetgIaih5reARoLL2cvMXRmYzlta3cQAQ,Simrose,25342.00,INR,★ 4.4
2026-04-19T05:39:47Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,3,ChoIyIyKwdLHuK6aARoNL2cvMTFzcGcwMnA2eRAB,"Amadi Beach Front Resort , Goa | Best Beach Resort in Goa",29768.00,INR,★ 4.3
2026-04-19T05:39:47Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,4,ChkIxdrD1oDIusgQGg0vZy8xMWNzcnI5aDV4EAE,Fairfield by Marriott Goa Calangute,44710.00,INR,★ 4.1
2026-04-19T05:39:47Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,5,ChoItIbs5Jr8scTvARoNL2cvMTFxOGp6Zm0zMBAB,Sibaya Beach Resort,47737.00,INR,★ 4.1
2026-04-19T05:39:47Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,6,ChoIie2RtLnbvubQARoNL2cvMTFyYnl5Y3lkeBAB,Radisson Resort Goa Baga,56050.00,INR,★ 4.9
2026-04-19T05:39:47Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,7,ChoImf3xx9DdvLKKARoNL2cvMTFjbmM5cHh2aBAB,Radisson Blu Resort Goa Cavelossim Beach,78794.00,INR,★ 4.4
2026-04-19T05:39:47Z,goa-dec,Goa (December break),"hotels in Goa, India",2026-12-20,2026-12-25,8,ChoIkuWG9_r43pWmARoNL2cvMTFzZmIzOTdnbhAB,JW Marriott Goa,206500.00,INR,★ 4.6
2026-04-19T05:39:47Z,jaipur-nov,Jaipur (November weekend),"hotels in Jaipur, India",2026-11-14,2026-11-16,1,ChkIrKvEiP-46r0lGg0vZy8xMWMzdzhjN3RoEAE,"Regenta Central, Jaipur",7865.00,INR,★ 4.0
